text,labels,fine
"Meine Mutter hat mir erzählt, dass mein Vater einen Wahlkreiskandidaten nicht gewählt hat, weil der gegen die Homo-Ehe ist ☺",0,OTHER
"@Tom174_ @davidbest95 Meine Reaktion;   Nicht jeder Moslem ist ein Terrorist. Aber jeder Moslem glaubt an Überlieferungen, die Gewalt und Terror begünstigen.",0,OTHER
"#Merkel rollt dem Emir von #Katar, der islamistischen Terror unterstützt, den roten Teppich aus.Wir brauchen einen sofortigen #Waffenstopp!",0,OTHER
„Merle ist kein junges unschuldiges Mädchen“ Kch....... 😱 #tatort,0,OTHER
@umweltundaktiv Asylantenflut bringt eben nur negatives für Deutschland. Drum Asylanenstop und Rückführung der Mehrzahl.,1,ABUSE
@_StultaMundi Die Bibel enthält ebenfalls Gesetze des Zivil- und Strafrechts.,0,OTHER
"@Thueringen_ @Miquwarchar @Pontifex_de Man munkelt, Franziskus ist großer ""Kiss""- und ""Black Sabbath""-Fan! #RockOn",0,OTHER
"@hugresch @saltomentale Seit dem ist die Gesellschaft noch einmal deutlich vielfältiger geworden, auch durch die Globalisierung.",0,OTHER
"""Wenn man Mädchen bildet, bildet man Generationen"" - Aqeela Asifi, Gewinnerin des #NansenAward 2015.",0,OTHER
"@FeePatzer Frauen zu einem ""Ja"" zu überreden, ist nicht selten erfolgreich. Viele Frauen wollen nicht als zu leicht zu haben angesehen werden. Oder mögen das Spiel. Oder wollen testen, ob er wirklich interessiert ist.",1,ABUSE
"@IvyandWoe Ich weiß halt, wie man Frauen zum Miauen bringt ☺",1,ABUSE
"Liebe Freunde, Gauck,das Symbol des Sklaventums!",1,ABUSE
@mountainman1977 @StapelChipsYT Au ja. Ich stell Dir Dein Zeugnis aus :),0,OTHER
wen interessiert denn die Meinung des Außenminister @SigmarGabriel der in meinen Augen strunzdumm ist #SPD,1,INSULT
"@ZeichenTaten @mountainman1977 @ThomasMichael71 Du meinst also, wir sollten unseren Überschuss an Afrika verschenken?",0,OTHER
@LWaff @UnzufriedenerB   Laßt doch endlich mal das Wort Nazi Nationalsozialist als Schimpfwort aus dem Spiel.Verdammt noch mal.,1,ABUSE
"@heuteshow Besser einen schwarz arbeiten zu lassen als PÄDOPHILE Bastarde in der Partei zu dulden, wie es in der GroKo schon mal vorkommt",1,ABUSE
@elmo31226 @MartinSchulz @Ralf_Stegner Von mir aus könnt ihr jämmerlich verrecken,1,INSULT
@BlondJedi @dittmar_katrin Zum Mond? Da sind doch auf der Kehrseite schon die Reichsdeutschen mit ihren Flugscheiben -UFOS.,1,INSULT
"@MarioBuchinger @Tevsa Haben Sie denn Probleme damit, dass weniger Männer als Frauen in der Kosmetikindustrie oder in der Modelbranche arbeiten?",0,OTHER
"Präsent. aus dem Projekt „Weißt Du, wer ich bin?Intereligiöse Begegnung/integrative FLH:21.10. 11Uhr kl. Michel,28.10, 11 Uhr,AlNour Moschee",0,OTHER
"@Beatrix_vStorch @c_lindner @nicolabeerfdp Gläubige ehemals bosnische Gastwirte, türkische Facharbeiter, persische Ärzte usw leben seit Jahrzehnten hier. Sie sind längst Deutsche, ihr #Islam ist eindeutig mit dem #Grundgesetz vereinbar. Hass gegen sie zu schüren und die Ausübung ihrer Religion zu erschweren, dagegen nicht",0,OTHER
Entsetzlich und traurig. So viele Tote und Verletzte. Keine Achtung vor dem Leben.   #Barcelona,0,OTHER
Rechte ist stark international vernetzt/bestens aufgestellt für #Kulturkampf im Netz - besser als demokratische #zivilgesellschaft #vt2017,0,OTHER
"Ĺièbe Freunde, die Parole muss lauten:Freiheit für Deutschland, Freiheit für ein Europa der Vaterländer!",0,OTHER
"@jojoschraps Warum versagt das SPD geführte Auswärtige Amt und seine Botschaft in Manila Besuchervisa,obwohl alle Kosten übernommen werden?",0,OTHER
"@liebhabereien Wollen Sie etwa bestreiten, dass der weibliche Orgasmus schwerer zu erreichen ist?",0,OTHER
@Namiimon @CayVL @mountainman1977 @zeitonline An der Universität von Queeristan?,1,ABUSE
"Liebe Freunde,der Kampf beginnt.Lasst Deutschland ausstehen.",0,OTHER
"@Namiimon @CayVL @mountainman1977 @zeitonline Vergiss nicht, mich bei der Internet-Stasi zu melden.",0,OTHER
@FobiMania @ManuelaSchwesig @MartinSchulz Ich scheisse auf die SPD.   SCHEINHEILGSTE PARTEI DEUTSCHLANDS !!!,1,INSULT
Früher hatte man Sex.   Heute hat man sexuelle Belästigung.   #MeToo,0,OTHER
"@Schwulemiker Wir glauben, dass geklärt werden sollte, woran das liegt",0,OTHER
Die größte Bedrohung des Friedens geht von USA und ihren Herren in Israel aus!,1,ABUSE
@clydevpg   Nur viel Wind um nichts. Asylwahnsinn geht weiter!,1,ABUSE
der Dummschwätzer Herr #Dobrindt gehört nicht in die #Bundesregierung sondern ins Irrenhaus #CDU #CSU,1,INSULT
Achtung Harry Potter ! Redet,0,OTHER
@stefanolix @Tevsa Das kommt davon wenn die Gesellschaft verweiblicht. Kaffeeklatsch wird Politik.,1,ABUSE
@StapelChipsYT @ThomasMichael71 Ist das jetzt ne Kriegserklärung?,0,OTHER
Wann wird der Mensch wieder als Mensch gesehen und nicht als Kosten-Nutzen-Faktor? #NoAfD #AFD,0,OTHER
@Neodeutscher @KonseqLiberal Geh nach Tschechien. War immerhin einst Teil des Heiligen Römischen Reiches deutscher Nation und Teil der Habsburger Monarchie.,0,OTHER
"Das Hessische Sozialministerium hat entschieden, dass die Geschäfte an Heiligabend geschlossen bleiben. Ich stehe hinter diesem Entschluss, denn jeder verdient am diesjährigen vierten Adventssonntag ein schönes, entspanntes Weihnachtsfest im Kreis der Familie.",0,OTHER
@nabbia2 @RiceBlues Es gibt keine unnatürlichen Stoffe. Alles besteht aus Atomen.,0,OTHER
"@Tevsa Aber mit Spinnern kann man umgehen, solange sie noch eine Minderheit sind. Was aber, wenn die Spinner an die Macht gelangen?",0,OTHER
@NetReaper Erste Frage kann ich Dir beantworten.,0,OTHER
"Ecken sind nix und Konter werden nicht zu Ende gespielt 😖 #comeoneffzeh, das geht besser! #AFCKOL #effzeh #TheReturnoftheGOAT #AFCKOE",0,OTHER
#Fußball werde ich mit Sicherheit nicht auf dem #asozialen #Hartz IV Sender #RTL schauen,1,PROFANITY
"@rspctfl @ergroovt @Innenwelttramp @ThomasMichael71 @houelle_beck @ksemann2 @DrKassandraPari Klar, ungleiche Rechte sind für Dich gerecht. Du wirst nicht sympathischer. Aber das erwarte ich von einer Muslima auch nicht.",1,ABUSE
"@Tom174_ Abgesehen davon war ich mit mehr Männern im Bett, als Du 😝",0,OTHER
"@MiRo_SPD Vielleicht käme man in der Politik grundsätzlich weiter, wenn im Auswärtigen Amt weniger Menschenverachtung vorhanden wäre.",0,OTHER
Logik 2017:   Es gibt dreiundzwölfzig Geschlechter und der Islam ist ne Ethnie.,1,ABUSE
"@WlerNr ich mache einen neuen Tweet auf, damit ich deine hasserfüllte Tweet nicht weiterleite! Es sieht ein Blinder was du damit bezwecken willst, du bist ein Brauner und Tschüss",0,OTHER
"Deutsche Waffenexporte nach #Saudi-Arabien verschlimmern die Situation im #Jemen, erklären die beiden großen Kirchen heute . Wer wie #CDU #CSU &amp; #SPD weiter Waffen liefern lässt, sollte in Zukunft von Friedenspolitik &amp; Menschenrechten besser nicht mehr sprechen.",0,OTHER
"Das Gesetz in Österreich, das das Verhüllen des Gesichts verbietet, ist nun in Kraft.",0,OTHER
@UnzufriedenerB   Drum eben. Nazi Na und? Wäre angemessene Reaktion. Ich hatte nie was gegen das NS-Regime! Aber gegen die Siegermächte .,1,ABUSE
"@ChristophColla2 @peter_simone @65_jani @jusos @gruene_jugend So ist es, statt auf den Balkon mit Lindner und Dobrinth belanglosen Mist zu quatschen, hätte man lieber an die Menschen in Deutschland denken sollen,als an die Posten zu denken und sich fast bis zu Unkenntlichkeit der Union anzubiedern, Frau Peters, öfters mal die Klappe halten!",0,OTHER
@bruck_68 @rspctfl @Innenwelttramp @nadine_wickert @ergroovt @ThomasMichael71 @houelle_beck @ksemann2 @DrKassandraPari Weil barbarische Märchen an Schulen nur im Literatur-Unterricht was zu suchen haben.,1,ABUSE
Mutti #Merkel hat #Röttgen nunmehr erlaubt wieder zu sprechen #CDU,1,INSULT
@d_pesch @_StultaMundi @ThomasMichael71 @PiratNrw @ismail_kupeli Ist ja auch verständlich. Was soll man mit nem Mitarbeiter der demnächst wegen Babypause ausfällt?,1,ABUSE
"Die fehlende #EheFürAlle hat #Konsequenzen für Arbeitnehmende, etwa wenn es bei Auslandsaufenthalten Visa nur für Eheleute gibt @VK_tweets_",0,OTHER
@Tom174_ @ThiloAdamitz Nicht jeder tauscht sein Haupt- gegen Rückenhaar wenn er älter wird 😁,0,OTHER
@domau_1 @stefanolix @LucasSchoppe1 Israel ist aber nicht institutionalisiertes Judentum.,0,OTHER
"@Westkurvenfan @DietmarAmann1 @Die_Gruenen @cem_oezdemir Ich weiß ja Nicht, ob Deine Schwester eine minderjährige Töchter hat, auf die Du scharf bist.",1,ABUSE
#Lesetipp: Rede von Prof. Dr. Friedhelm Hengsbach SJ: »@Umfairteilen jetzt!« #Sozialwort #Vermögenssteuer #Kapitalismus (via @WiuGe),0,OTHER
"@JoeHellBack @ThomasMichael71 @alexa_jung60 @Tschonka @dasstimmvieh @Mohrenpost Och, antifeministisch bin ich auch :)",0,OTHER
Ein tolles Produkt in alter SED Tradition!Merkel und ihre Satrapen haben diesen Propagandafilm abgenickt.,1,ABUSE
@Joerg_Meuthen @JoeyGerlach AfD an die Macht. Mit Höcke an der Spitze!!!,0,OTHER
"@OnlineMagazin   Frau Merkel, wo ist ihr Eid?",0,OTHER
"Verloren wäre die Zeit, in der wir nicht als Menschen gelebt, Erfahrungen gemacht, gelernt,geschaffen, genossen und gelitten hätten.   Dietrich Bonhoeffer",0,OTHER
"@Karl_Lauterbach Da erkennt man, mit was für jämmerlichen Deppen die abgefuckte SPD aus Machtgeilheit 4 Jahre das Volk verraten und verkauft hat !!!",1,ABUSE
"@jusos @KuehniKev 20.5% macht ein auf 100%, unglaublich diese Naivität der Jusos, Weil mit klarer Argumentation!",0,OTHER
@hugresch @saltomentale Ich hatte es auch nur als Sammelbegriff verwendet um diesen vom nationalistischen Kollektivismus abzugrenzen. Kollektivismus bleibt jedenfalls Kollektivismus und ich bin ein strikter Befürworter der pluralistischen Demokratie.,0,OTHER
"@ZDFWATCH @jorg_radek Schäm Dich, Leute anzupöbeln, die sich engagieren. Selbstgefällig. Stinkig.",0,OTHER
@HugoMuellerVogg @spdde Hat Rente nichts mit sozialer Gerechtigkeit zu tun?,0,OTHER
Hoffentlich kann der Pfaffe noch lange weiter pilgern!,1,ABUSE
schläft MichaelSpreng eigentlich im Studio oder wie schafft er es immer da zu sein? #lanz,0,OTHER
@alvar_f lenken Sie nicht davon ab dass Sie versucht haben mit Dreck zu werfen und erwischt wurden.,0,OTHER
@DietmarAmann1 @Die_Gruenen @cem_oezdemir Ich persönlich scheisse auf die grüne Kinderfickerpartei,1,ABUSE
"#SPD ist, wenn man die sonst lästige Basisdemokratie für sich entdeckt, um der lästigen Basis klar zu machen, dass ihre Bedenken gegen eine #GroKo lästig sind.",0,OTHER
"@kkleinigkeit @StapelChipsYT @Lea_Chiara Ich würde sagen, sie hat psychische Probleme und benötigt professionelle Hilfe.",1,ABUSE
@Wjanka634 @FeePatzer Und Deine sind extrem doof.,1,INSULT
@JacobJoussen Vielen Dank und viel Spaß beim Entdecken der neuen Seite. :),0,OTHER
Frau #Böttinger meine Meinung dazu ist sie sollten uns mit ihrem Pferdegebiss nicht weiter belästigen #WDR,1,INSULT
"@rspctfl @houelle_beck @Innenwelttramp @ergroovt @ThomasMichael71 @ksemann2 @DrKassandraPari Dann hättest Du nichts dagegen, wenn ein Lehrer ein Zeichen d PKK im Unterricht trägt? Oder die Flagge Israels? Oder ein Anstecker der AfD?",0,OTHER
@SPDNDS @HeikoMaas Wie blöd können die Niedersachsen doch sein ???,1,INSULT
"""@Reiterfee: @WHetzler @DanielMindon Tauber, ich würde sagen, die tatsächlichen Arschlöcher sitzen in der Regierung""   SO IST ES!",1,ABUSE
Toutes mes félicitations Jean-Luc! Fast 20 Prozent: ein grandioser Erfolg für die französische Linke! #Melenchon #Frankreichwahl,0,OTHER
@jdoeschner @nrwspd @spdde Die SPD sollte wohl besser auf ihre Umweltministerin hören als auf die lokale RWE-Lobby.,0,OTHER
"@clydevpg Wo bleibt der private Wachdienst, der die in den Arsch tritt?",1,ABUSE
@Verlierer50 Nicht reden. handeln. Sofort. Umgehend!,0,OTHER
Friedman raus!Ab ins gelobte Land!,1,INSULT
"Spannend: Carsten Schneider (#SPD) argumentiert bei #AnneWill gerade, dass eine Partei im Parlament bei derselben Frage anders abstimmen kann als in der Regierung. So weit, so gut. Heißt das, die @spdbt wird im Bundestag auch die Verlängerung des Afghanistan-Einsatzes ablehnen?",0,OTHER
@Verlierer50   Christen sind tierfreundlich. Asiaten nicht. Außer Buddisten. Juden?,1,ABUSE
das hätte ich der #FDP nicht zugetraut alle Achtung! nur die #Grünen kriechen allen in den Arsch,1,INSULT
jetzt wieder LinksGrüne-Propaganda von Linksfaschisten #Böhmermann #LaferLichterLuther,1,ABUSE
"@PhilipPlickert Das Grundgesetz ist das beste, was wir haben. Es zu schützen, ist unser aller Pflicht.",0,OTHER
Terror wird durch Gegenterror beantwortet werden!,1,ABUSE
@mountainman1977 @DerDoktorant Wichtiger wäre mir das Messverfahren und die Quelle. Die Aussage erschließt sich mir aus dem Kontext und der Intuition.,0,OTHER
"@SunTsu Nein, darauf ist niemand stolz. Und die Kirche geht das Problem mittlerweile an wie kaum eine andere Institution.",0,OTHER
@erik_fluegge @Arndt_Klocke @c_lindner Hat er auch eine neue Führungsmannschaft bei der FDP angeboten? #machtSinn,0,OTHER
"@neythomas Ach, das ist doch ein Sturm im Wasserglas. Spahn ist nun mal ne rechte Tucke 😁",1,PROFANITY
"Gut!Sofort alles Geld stoppen,Beziehungen abbrechen und alle Griechen aus Deutschland raus!Keinerlei Renten-und Sozialleistungen!",1,ABUSE
@KonstantinaNdM @_StultaMundi @Quuux @NoHateSpeechDE Anders gesagt: Ihr seid Rassisten.,1,INSULT
@ohneKonsequenz @BonkeKolja So siehst aus. Kuscheljutiz für Asylantenpack.,1,ABUSE
"@spdde @MartinSchulz Jeder der mit Gabriel und Steinmeier paktiert hat bei mir verschissen. SPD - SCHMAROTZER, PÄDOPHILE UND DENUNZIANTEN !!!",1,ABUSE
"@mz_wittenberg Immer erhöhte Geschwindigkeit die Ursache. Arme Tiere,verfluchte Raser.",0,OTHER
"Nun ja, ich verfolge ja auch keine politische Agenda. Und ich bin sexuell aufgeklärt.",0,OTHER
@welt Geht's noch? Ihr habt doch einen an der Waffel🖕,1,INSULT
@BoseGundolf @KnooshoodKnorke @heribertprantl Du wirst heute schon ausgelacht!,1,INSULT
"@oadiakosmos @Fjordspringer @Schockadin @Schnubb36 @3rd_stone_f_sun @gselsbaer @transsimian @AlfredAndPaul @TomBell46959788 @KosmosOadia @druzim @DasEbenbild @_Apuleius @karlrahner_sj @veronikusz @LadyLeliana @VJanusch @HELMA__D @ifw_recht @gbs_org Vorurteile sind sehr rational. Beispiel: Ich habe das Vorurteil, dass mich ein Löwe angreifen wird, wenn ich in sein Territorium eindringe. Aufgrund dieses Vorurteils vermeide ich es im Zoo in das Löwengehege zu klettern. Ich finde das ziemlich rational.",0,OTHER
"@OezcanMutlu @Hollstein63 @BILD_Politik @Senatskanzlei_B @rbb24 @tagesspiegel @TspBerlin @TspLeute @ronzheimer Danke, dass du gekommen bist!",0,OTHER
@mariae_gloria Wo genau? Gerne auch per DM mit Screenshot. /jcm,0,OTHER
"@MiataMuc @Tom174_ Bin halt anhänglich, zahm und faul ☺",0,OTHER
@Tom174_ Lass mal noch mal zählen...,0,OTHER
@tbb_berlin Fast 1/3 der Berl. Bevölkerung hat Migrationshintergrund @cdu_berlin @spdberlin @gruene_berlin @PiratenBerlin @dielinkeberlin,0,OTHER
@MiataMuc Nein. Aber was hat schwul sein mit einem verminderten Wohlergehen zu tun?,0,OTHER
"@Achim7871 Die Eliten wollen Deutschland ausrotten , kapieren zu wenig .   Genau traurige Wahrheit. Ausrottung ohne kaum Widerstand!",1,ABUSE
"@Kahuna456 @Lotus88118558 @Jala_varietas Ich glaube er hat auch noch nicht mitbekommen, dass Frauen ansprechen mittlerweile als sexuelle Belästigung gilt ☺",0,OTHER
"Deutschland wird zurückkommen ,stärker und härter als je zu vor!!!",0,OTHER
@ThiloAdamitz Biste wieder bereit und willig 😀,0,OTHER
@Meyermit_ey @maurice_breuer Untere Einkommen werden durch die Abschaffung des Solis nicht entlastet. Die Entlastung erfolgt durch andere Dinge bzw. durch die Beispiele von 2 Kindern (Kindergeld). /TN,0,OTHER
@ThiloAdamitz @MiataMuc Das ist nicht der @MiataMuc 😁,0,OTHER
@mountainman1977 @MiataMuc @MartinDomig Süßer Senf ja. Aber dazu normale Brötchen oder Mischbrot. Multikulturell sozusagen 😁,0,OTHER
"@anna_IIna Wahnsinn. Und die Deutschen halten still,bis auf ganz wenige.",0,OTHER
Herr Friedman und Konsorten. Es wird der Tag der Rache der freien Völker kommen.,1,ABUSE
@AfDBerlin @balleryna   Das ist der Anfang des Bürgerkrieges.,0,OTHER
"Liebe Freunde und Kameraden, lasst uns endlich miteinander vernetzen!Nur gemeinsam sind wir stark!",0,OTHER
